asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1,metal2,metal3,csd_ref,name1,name2,name3,oms,lcd [Å],pld [Å],LFPD [Å]
2616.5,2224.03,,0.84,0.85,4.62,5.82,52.49,Co,,,WEBKIZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,"[""di-n-butylammonium""]",No,,,
2471.76,1619.49,0.73,1.11,0.66,4.44,6.43,45.03,Zn,,,OTALUS,4-(pyridin-4-yl)pyridin-1-oxide,"[""2,6-diisopropylphenyl_phosphate""]","[""tetrabutylammonium"", ""Tetra-n-butylammonium""]",Yes,12.68,9.31,12.68
2229.73,1803.58,0.8,0.99,0.81,4.13,5.88,50.57,Zn,Mo,,OHUMEL,"[""4,4',4''-Benzene-1,3,5-triyltris(benzoate)"", ""4,4',4''-(benzene-1,3,5-triyl)tribenzoateo"", ""4,4',4''-benzene-1,3,5-triylbenzoate"", ""4,4',4''-Benzene-1,3,5-triyltribenzoate"", ""benzene-1,3,5-tris(4-benzoate)"", ""4,4',4''-(1,3,5-triphenylene)-tribenzoate"", ""1,3,5-tris(4-Carbxoylatephenyl)benzene"", ""4,4',4''-(Benzene-1,3,5-triyl)tribenzoate"", ""Benzene-1,3,5-tris(phenyl-4-carboxylate)"", ""(Benzene-1,3,5-triyl)-4,4',4''-tribenzoate"", ""Benzene-1,3,5-tris(4-benzoate)""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetrabutylammonium"", ""Tetra-n-butylammonium""]",Yes,14.1,12.87,14.1
2419.32,2241.48,0.68,0.73,0.93,4.37,5.33,52.17,Co,,,FEWWEL,"[""2,4,6-tris(4-Pyridyl)1,3,5-triazine"", ""tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4'-Pyridyl)-1,3,5-triazine"", ""2,4,6-tri(pyridin-4-yl)-1,3,5-triazine"", ""2,4,6-Tripyridin-4-yl-1,3,5-triazine"", ""tris(4-pyridyl)-1,3,5-triazine"", ""2,4,6-tris(4-Pyridyl)triazine""]",,"[""1,1,2,2-tetrachloroethane""]",No,8.21,5.7,8.2
2290.48,2041.5,0.68,0.76,0.89,4.21,5.3,49.86,Zn,,,FUTZOL,"[""N-methyl-2-pyrrolidinone"", ""N-methylpyrrolidin-2-one"", ""N-methyl-2-pyrrolidone"", ""1-methylpyrrolidin-2-one""]","[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""tetramethylammonium""]",Yes,9.3,6.37,9.14
2410.89,2120.61,0.71,0.81,0.88,4.36,5.55,51.65,Cu,,,IKETOH,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.2,6.41,13.2
2510.09,2182.06,0.72,0.83,0.87,4.49,5.69,52.47,Cu,,,IKETUN,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.23,6.53,13.23
2405.69,2124.84,0.72,0.81,0.88,4.36,5.54,51.82,Cu,,,REYMOZ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.17,6.6,13.17
2444.89,2150.81,0.71,0.81,0.88,4.41,5.58,51.96,Cu,,,RIFGAQ,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.19,6.53,13.17
2416.26,2126.12,0.72,0.82,0.88,4.37,5.58,52,Cu,,,SONVEX,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.2,6.62,13.2
